NaGeBr-RbSnBr.outmol:DFT energy gap:           0.10577 Ha      2.878 eV
NaGeBr-RbSnF.outmol:DFT energy gap:           0.10527 Ha      2.865 eV
NaPbBr-CsPbBr.outmol:DFT energy gap:           0.11956 Ha      3.253 eV
NaPbBr-CsPbF.outmol:DFT energy gap:           0.08070 Ha      2.196 eV
NaPbBr-CsPbI.outmol:DFT energy gap:           0.11992 Ha      3.263 eV
NaPbBr-CsSnBr.outmol:DFT energy gap:           0.10102 Ha      2.749 eV
NaPbBr-CsSnF.outmol:DFT energy gap:           0.09346 Ha      2.543 eV
NaPbBr-RbPbBr.outmol:DFT energy gap:           0.11850 Ha      3.225 eV
NaPbBr-RbPbF.outmol:DFT energy gap:           0.07083 Ha      1.927 eV
NaPbBr-RbSnBr.outmol:DFT energy gap:           0.09077 Ha      2.470 eV
NaPbBr-RbSnF.outmol:DFT energy gap:           0.08445 Ha      2.298 eV
NaPbBr-RbSnI.outmol:DFT energy gap:           0.09104 Ha      2.477 eV
RbGeBr-CsPbBr.outmol:DFT energy gap:           0.12923 Ha      3.517 eV
RbGeBr-CsPbF.outmol:DFT energy gap:           0.12740 Ha      3.467 eV
RbGeBr-CsSnBr.outmol:DFT energy gap:           0.12127 Ha      3.300 eV
RbGeBr-CsSnF.outmol:DFT energy gap:           0.12400 Ha      3.374 eV
RbGeBr-CsSnI.outmol:DFT energy gap:           0.11230 Ha      3.056 eV
RbGeBr-RbPbBr.outmol:DFT energy gap:           0.12399 Ha      3.374 eV
RbGeBr-RbPbF.outmol:DFT energy gap:           0.10127 Ha      2.756 eV
RbGeBr-RbSnBr.outmol:DFT energy gap:           0.12161 Ha      3.309 eV
RbGeBr-RbSnF.outmol:DFT energy gap:           0.12088 Ha      3.289 eV
RbGeBr-RbSnI.outmol:DFT energy gap:           0.12683 Ha      3.451 eV
RbPbBr-CsPbBr.outmol:DFT energy gap:           0.11129 Ha      3.028 eV
RbPbBr-CsPbF.outmol:DFT energy gap:           0.10474 Ha      2.850 eV
RbPbBr-CsPbI.outmol:DFT energy gap:           0.10716 Ha      2.916 eV
RbPbBr-CsSnBr.outmol:DFT energy gap:           0.11735 Ha      3.193 eV
RbPbBr-CsSnF.outmol:DFT energy gap:           0.11658 Ha      3.172 eV
RbPbBr-CsSnI.outmol:DFT energy gap:           0.11678 Ha      3.178 eV
RbPbBr-RbPbBr.outmol:DFT energy gap:           0.08749 Ha      2.381 eV
RbPbBr-RbPbF.outmol:DFT energy gap:           0.07955 Ha      2.165 eV
RbPbBr-RbSnBr.outmol:DFT energy gap:           0.11659 Ha      3.172 eV
RbPbBr-RbSnF.outmol:DFT energy gap:           0.09274 Ha      2.523 eV
RbPbBr-RbSnI.outmol:DFT energy gap:           0.10166 Ha      2.766 eV
