KGeBr-RbSnF.outmol:conduction band edge:    -0.09970 Ha     -2.713 eV
KPbBr-CsPbBr.outmol:conduction band edge:    -0.09755 Ha     -2.654 eV
KPbBr-CsPbF.outmol:conduction band edge:    -0.10222 Ha     -2.781 eV
KPbBr-CsPbI.outmol:conduction band edge:    -0.09491 Ha     -2.583 eV
KPbBr-CsSnBr.outmol:conduction band edge:    -0.09500 Ha     -2.585 eV
KPbBr-CsSnF.outmol:conduction band edge:    -0.10265 Ha     -2.793 eV
KPbBr-RbPbBr.outmol:conduction band edge:    -0.10746 Ha     -2.924 eV
KPbBr-RbPbF.outmol:conduction band edge:    -0.11195 Ha     -3.046 eV
KPbBr-RbSnBr.outmol:conduction band edge:    -0.10172 Ha     -2.768 eV
KPbBr-RbSnF.outmol:conduction band edge:    -0.10770 Ha     -2.931 eV
LiGeBr-CsPbBr.outmol:conduction band edge:    -0.09151 Ha     -2.490 eV
LiGeBr-CsPbF.outmol:conduction band edge:    -0.10267 Ha     -2.794 eV
LiGeBr-CsPbI.outmol:conduction band edge:    -0.09318 Ha     -2.536 eV
LiGeBr-CsSnBr.outmol:conduction band edge:    -0.10182 Ha     -2.771 eV
LiGeBr-CsSnF.outmol:conduction band edge:    -0.09869 Ha     -2.686 eV
LiGeBr-RbPbBr.outmol:conduction band edge:    -0.09241 Ha     -2.515 eV
LiGeBr-RbPbF.outmol:conduction band edge:    -0.11121 Ha     -3.026 eV
LiGeBr-RbSnBr.outmol:conduction band edge:    -0.10743 Ha     -2.923 eV
LiGeBr-RbSnF.outmol:conduction band edge:    -0.10419 Ha     -2.835 eV
LiPbBr-CsPbBr.outmol:conduction band edge:    -0.11350 Ha     -3.089 eV
LiPbBr-CsPbF.outmol:conduction band edge:    -0.11062 Ha     -3.010 eV
LiPbBr-CsPbI.outmol:conduction band edge:    -0.11268 Ha     -3.066 eV
LiPbBr-CsSnBr.outmol:conduction band edge:    -0.10734 Ha     -2.921 eV
LiPbBr-RbPbF.outmol:conduction band edge:    -0.11484 Ha     -3.125 eV
LiPbBr-RbSnBr.outmol:conduction band edge:    -0.11286 Ha     -3.071 eV
LiPbBr-RbSnF.outmol:conduction band edge:    -0.10957 Ha     -2.982 eV
NaGeBr-CsPbBr.outmol:conduction band edge:    -0.09297 Ha     -2.530 eV
NaGeBr-CsPbF.outmol:conduction band edge:    -0.09194 Ha     -2.502 eV
NaGeBr-CsSnBr.outmol:conduction band edge:    -0.09501 Ha     -2.585 eV
NaGeBr-CsSnF.outmol:conduction band edge:    -0.09985 Ha     -2.717 eV
NaGeBr-RbPbBr.outmol:conduction band edge:    -0.09374 Ha     -2.551 eV
NaGeBr-RbPbF.outmol:conduction band edge:    -0.11026 Ha     -3.000 eV
NaGeBr-RbSnBr.outmol:conduction band edge:    -0.10180 Ha     -2.770 eV
NaGeBr-RbSnF.outmol:conduction band edge:    -0.10443 Ha     -2.842 eV
NaPbBr-CsPbBr.outmol:conduction band edge:    -0.09705 Ha     -2.641 eV
NaPbBr-CsPbF.outmol:conduction band edge:    -0.10977 Ha     -2.987 eV
NaPbBr-CsPbI.outmol:conduction band edge:    -0.09391 Ha     -2.555 eV
NaPbBr-CsSnBr.outmol:conduction band edge:    -0.10175 Ha     -2.769 eV
NaPbBr-CsSnF.outmol:conduction band edge:    -0.10523 Ha     -2.863 eV
NaPbBr-RbPbBr.outmol:conduction band edge:    -0.09833 Ha     -2.676 eV
NaPbBr-RbPbF.outmol:conduction band edge:    -0.11491 Ha     -3.127 eV
NaPbBr-RbSnBr.outmol:conduction band edge:    -0.10702 Ha     -2.912 eV
NaPbBr-RbSnF.outmol:conduction band edge:    -0.11018 Ha     -2.998 eV
NaPbBr-RbSnI.outmol:conduction band edge:    -0.10530 Ha     -2.865 eV
RbGeBr-CsPbBr.outmol:conduction band edge:    -0.08933 Ha     -2.431 eV
RbGeBr-CsPbF.outmol:conduction band edge:    -0.09390 Ha     -2.555 eV
RbGeBr-CsSnBr.outmol:conduction band edge:    -0.09206 Ha     -2.505 eV
RbGeBr-CsSnF.outmol:conduction band edge:    -0.09215 Ha     -2.508 eV
RbGeBr-CsSnI.outmol:conduction band edge:    -0.09686 Ha     -2.636 eV
RbGeBr-RbPbBr.outmol:conduction band edge:    -0.09145 Ha     -2.489 eV
RbGeBr-RbPbF.outmol:conduction band edge:    -0.10595 Ha     -2.883 eV
RbGeBr-RbSnBr.outmol:conduction band edge:    -0.09047 Ha     -2.462 eV
RbGeBr-RbSnF.outmol:conduction band edge:    -0.09362 Ha     -2.547 eV
RbGeBr-RbSnI.outmol:conduction band edge:    -0.08773 Ha     -2.387 eV
RbPbBr-CsPbBr.outmol:conduction band edge:    -0.09732 Ha     -2.648 eV
RbPbBr-CsPbF.outmol:conduction band edge:    -0.09997 Ha     -2.720 eV
RbPbBr-CsPbI.outmol:conduction band edge:    -0.09882 Ha     -2.689 eV
RbPbBr-CsSnBr.outmol:conduction band edge:    -0.09507 Ha     -2.587 eV
RbPbBr-CsSnF.outmol:conduction band edge:    -0.09625 Ha     -2.619 eV
RbPbBr-CsSnI.outmol:conduction band edge:    -0.09507 Ha     -2.587 eV
RbPbBr-RbPbBr.outmol:conduction band edge:    -0.10711 Ha     -2.915 eV
RbPbBr-RbPbF.outmol:conduction band edge:    -0.11141 Ha     -3.032 eV
RbPbBr-RbSnBr.outmol:conduction band edge:    -0.09502 Ha     -2.586 eV
RbPbBr-RbSnF.outmol:conduction band edge:    -0.10706 Ha     -2.913 eV
RbPbBr-RbSnI.outmol:conduction band edge:    -0.10239 Ha     -2.786 eV
